question,a,b,c,d,e,answer,split
다음은 무엇에 대한 이야기입니까? ### 참고:한국에서는 명절에 조상의 산소를 찾아가 인사를 드리고 산소를 살핀다. ,추석,제사,성묘,백일,장례,b,KGK
"다음 중 중 대화가 이루어지는 장소로 가장 적절한 것을 고르시오 ### 참고: 가: 이수진! 일어나서 13번 답 말해볼래? 나: 아, 죄송해요 선생님. 잘 모르겠어요. 가: 그럼 옆에 있는 짝꿍 일어나서 말해보자.",식당,병원,학교,도서관,백화점,c,KGK
빈 칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:가 : 저는 어렸을 때 말이 정말 많은 [BLANK] 였어요. 나 : 정말요?,겁쟁이,멋쟁이,개구쟁이,대장장이,수다쟁이,e,KGK
다음 중 이 국가기관은 무엇입니까?  ### 참고: 이 국가기관 에서는 지난 5월 서울 종로구에서 상 점을 돌아다니며 물건을 훔친 일당을 체포했다고 발표했다.,국세청,경찰청,통계청,산림청,기상청,b,KGK
다음 중 한국의 정치에 대한 설명으로 옳지 않은 것을 고르시오. ### 참고:nan,법에 의해 통치한다.,국민의 자유와 평등을 강조한다.,선거를 통해 국민의 대표를 선출한다.,국가의 정책에 국민의 의사를 반영한다.,국가의 모든 일은 국민 투표를 통해 결정한다.,e,KGK
한국의 수출품 중에서 전 세계적으로 수출되는 대표적인 상품으로 짝지어진 것 은 무엇입니까? ### 참고:nan,"김,호박","버섯,목재","생선,조개","인형, 신발","자동차, 반도체",e,KGK
서울올림픽은 몇 년도에 개최되었습니까?  ### 참고:nan,1986,1987,1988,1989,2002,c,KGK
옛날과 오늘날의 생활 도구의 변화를 비교한 것이다. 빈 칸 안에 들어갈 알맞은 말은 무엇입니까?  ### 참고:옛 날 : [BLANK]    오늘날: 전기밥솥,접시,처마,옹기,가마솥,전기다리미,d,KGK
우리나라에 있는 산이 아닌 것은 무엇입니까? ### 참고:nan,지리산,태백산,북한사,후지산,한라사,d,KGK
품질 정보와 뜻이 바르게 연결된 것을 고르시오.  ### 참고:nan,제조회사: 물건의 이름을 알 수 있다.,유통기한: 어느 회사가 만들었는지 알 수 있다.,보관방법: 물건의 가격이 얼마인지 알 수 있다.,제품명: 물건을 어떻게 보관하는지 알 수 있다.,원재료 및 원산지 :물건을 만드는데 사용한 재료와 그 재료를 생산 한 나라나 지역을 알 수 있다.,e,KGK
다음 중 자동차 때문에 필요한 것이 아닌 것을 고르시오.  ### 참고:nan,도로,신호등,교통 표지,구명 조끼,교통 경찰관,d,KGK
업무시간에관한설명으로옳지않은것은?  ### 참고:nan,일반적으로 9시에 출근해서 5시에 퇴근한다.,일과시간 이후에도 일하는 것을 야근이라 한다.,대도시에는 24시간 손님을 받는 편의점이나 식당도 있다.,대부분의 직장은 월요일부터 금요일까지 주5일 근무를 한다.,한국의 하루 업무 시간은 10시간이다.,a,KGK
"다음에서 설명하는 곳은?  ### 참고:·공과금(전기, 수도, 가스 요금 등)을 수납한다. ·해외로 편지나 택배를 보낼 수 있다. ",은행,경찰서,우체국,지하철,소방서,c,KGK
다문화가족지원포털(다누리)의 역할로 맞는 것은?  ### 참고:nan,한국생활에 필요한 민원상담과 생활관련 정보를 상담한다.,한국생활 적응에 꼭 필요한 기본정보와 다문화 관련 최신정보를 제공한다.,화재 진압 및 응급환자의 이송 서비스를 제공한다.,범죄를 신고할 수 있다.,한국 전통 의상을 지원 받을 수 있다.,b,KGK
국·공립 유치원의 장점은?  ### 참고:nan,만 3세부터 이용이 가능하다.,민간(사립)에 비해 보육료가 저렴하다.,국·공립유치원에 보내려면 오래 기다려야 한다.,모든 연령대가 이용할 수 있다.,30세 이하의 선생님으로만 구성되어 있다.,d,KGK
명절때고향에가는길이막혀시간이오래걸리는것을비유한것은? ### 참고:nan,귀성전쟁,귀경전쟁,기러기아빠,강강수월래,귀농전쟁,a,KGK
한국에서 가장 오래된 외래종교는? ### 참고:nan,유교,불교,개신교,천주교,이슬람,b,KGK
우리나라에서 만들어진 종교로 인·내·천 사상을 근본이념으로 한 종교는?  ### 참고:nan,유교,불교,개신교,천주교,천도교,e,KGK
"거래횟수, 거래 금액에 상관 없이 자유롭게 거래할 수 있는 금융상품은?  ### 참고:nan",보통예금,보험,정기적금,정기예금,상해 보험,a,KGK
"다음의 단어들과 관련이 있는 계절은?  ### 참고:수박, 삼계탕",봄,여름,가을,겨울,다음 중 없음,b,KGK
서울과 인접해 있는 도시는?  ### 참고:nan,광주,부산,대전,인천,제주시,d,KGK
가정과 소년(미성년)에 관한 사건을 담당하는 법원은?  ### 참고:nan,행정법원,가정법원,헌법재판소,행정부,경찰서,b,KGK
"빈칸 안에 들어갈 알맞은 단어를 고르시오. ### 참고:예전에는 이사를 가족, 친지들이 와서 도와주었으나 요즘은 [BLANK] (을)를 선호한다.",직접이사,포장이사,손 없는 날,손 있는 날,다음 중 없음,b,KGK
태어나 처음으로 맞이하는 생일은?  ### 참고:nan,생일,돌,회갑,제사,첫 생일,b,KGK
제사에 대한 설명으로 맞지 않는 것은?  ### 참고:nan,"부모, 조부모(할머니, 할아버지) 등이 돌아가신 날이나 명절에 추모하는 것 이다",가족들이 모여 함께 음식을 먹으며 조상의 덕을 이야기한다.,죽은 사람에게 예를 갖추어 떠나보내는 것이다.,제삿날 음식을 차리는 것을 제사상이라고 한다.,제사 상에는 꼭 치킨을 올려야 한다.,c,KGK
돌잔치에서 아이가 잡는 물건에 따라 아이의 미래를 점치는 것은?  ### 참고:nan,돌잡이,제사상,축의금,굿,생일잡이,a,KGK
다음 자료는 (가)에 대한 인터넷 검색 내용의 일부이다. (가)에 대한 설명으로 옳은 것은?  ### 참고: •마라도 남서쪽 약 149km에 위치한다. •해수면 약 4.6m 아래에 잠겨 있는 수중 암초이다.  •우리나라가 2003년 종합 해양 과학 기지를 건설하였다.,독도보다 저위도에 위치한다,한·일 중간 수역 범위 안에 위치한다.,우리나라 영토의 극서 지점이 위치한다.,주변 12해리 수역은 우리나라의 영해이다,생태적 가치가 높아 천연 보호 구역으로 지정되었다.,a,KGK
