question,a,b,c,d,e,answer,split
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 외국에 나가려면 <빈칸>이 반드시 있어야 해요.,도장,명함,여권,통장,,c,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 어제는 제 생일이었습니다. 친구들에게 <빈칸>을 많이 받았습니다. 기분이 정말 좋았습니다.,상장,선물,촛불,포장,,b,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 내일 <빈칸>방학이에요. 나: 방학 때 뭐 할 거예요?,동안,마다,에서,부터,,d,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: <빈칸> 한국어 선생님입니까? 나: 저 분입니다.,누가,누구,무슨,어디,,a,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 비가 많이 와요. 나: 그럼 비가 <빈칸> 다음에 나갑시다.,간,분,그친,끝난,,c,RC
다음은 무엇에 대한 이야기입니까?  ### 참고: 저는 사과를 좋아합니다. 수박도 좋아합니다.,과일,과자,나무,생선,,a,RC
"다음의 내용과 다른 것은 무엇입니까?  ### 참고: 저는 어제 동대문 시장에 갔습니다. 시장에서 바지하고 양말, 운동화를 샀습니다. 가방도 사고싶었지만 참았습니다. 그리고 그 돈으로 고향에 있는 동생에게 보내려고 원피스를 샀습니다.",이 사람은 시장에서 가방을 샀습니다.,이 사람은 어제 동대문 시장에 갔습니다.,이 사람은 동생을 위해 원피스를 샀습니다.,이 사람은 동대문 시장에서 물건을 샀습니다.,,a,RC
"<빈칸>에 들어갈 말로 알맞은 것은 무엇입니까?  ### 참고: 저는 한국어를 잘하고 싶습니다. 그래서 한국 드라마를 <빈칸> 봅니다. 내용도 재미있고, 한국어 공부도 할 수 있습니다. 드라마를 보면서 배우의 말을 따라하거나 공책에 써 봅니다.",가끔,매우,빨리,자주,,d,RC
"액션 영화는 언제 볼 수 있습니까?  ### 참고: 저는 어제 친구와 같이 영화관에 갔습니다. 저는 공포 영화를 좋아하지 않는데 친구는 공포 영화를 보고 싶어 했습니다. 저는 액션 영화가 보고 싶었습니다. 그런데 액션 영화는 일주일 뒤부터 볼 수 있었습니다. 우리는 이번 주에 공포 영화를 보고, 액션 영화를 보러 또 영화관에 가기로 했습니다.",내일,이번 주,다음 주,이주일 뒤,,c,RC
"이 글의 내용과 같은 것은 무엇입니까?  ### 참고: 저는 어제 친구와 같이 영화관에 갔습니다. 저는 공포 영화를 좋아하지 않는데 친구는 공포 영화를 보고 싶어 했습니다. 저는 액션 영화가 보고 싶었습니다. 그런데 액션 영화는 일주일 뒤부터 볼 수 있었습니다. 우리는 이번 주에 공포 영화를 보고, 액션 영화를 보러 또 영화관에 가기로 했습니다.",이 사람은 어제 혼자서 영화를 봤습니다.,이 사람은 친구와 액션 영화를 봤습니다.,이 사람은 액션 영화를 좋아하지 않습니다.,이 사람의 친구는 공포 영화를 좋아합니다.,,d,RC
